,Pred_0,real_0
402,535,102
403,1200,1176
404,231,790
405,363,1176
406,1200,1335
407,797,412
408,1200,217
409,1419,358
410,1200,1176
411,363,1363
412,535,1466
413,1200,1043
414,788,846
415,1092,1206
416,292,1497
417,81,659
418,281,1176
419,1200,1176
420,1419,1390
421,1200,1176
422,1031,1176
423,1504,346
424,932,782
425,1200,437
426,243,911
427,1200,1176
428,1200,98
429,1200,387
430,1200,1176
431,1200,346
432,687,228
433,807,1176
434,1200,884
435,772,510
436,1221,884
437,1200,1176
438,1200,236
439,907,382
440,1200,368
441,1091,667
442,493,1043
443,1200,151
444,1246,1176
445,263,809
446,1200,279
447,794,177
448,1200,505
449,1066,1176
450,1200,380
451,1200,535
452,1200,346
453,1200,1176
454,1200,1432
455,698,331
456,1200,884
457,1200,270
458,1200,1176
459,215,1176
460,932,846
461,687,1225
462,808,1176
463,1200,279
464,231,613
465,1200,1176
466,1200,786
467,292,1176
468,1196,1176
469,1200,1176
470,1200,1109
471,1200,1371
472,932,1468
473,1386,911
474,1246,1176
475,1200,268
476,167,1244
477,932,126
478,1200,199
479,932,1176
480,1219,85
481,127,647
482,561,1176
483,1284,1176
484,160,1225
485,1200,1176
486,1200,1043
487,1200,1176
488,231,1176
489,687,772
490,1200,1176
491,1200,1176
492,1302,510
493,1200,1176
494,1152,1278
495,806,228
496,808,1176
497,535,1262
498,1200,1473
499,342,276
500,535,846
501,716,911
502,907,1176
503,1200,1473
504,1517,510
505,1200,1176
506,72,1497
507,363,1176
508,292,387
509,72,145
510,827,1225
511,1200,463
512,1504,759
513,518,440
514,1200,294
515,1200,1176
516,1144,846
517,932,911
518,1474,856
519,1200,911
520,1100,667
521,1200,1176
522,1200,667
523,932,346
524,558,1176
525,105,582
526,1200,1262
527,1200,1240
528,1200,98
529,1200,911
530,1200,1225
531,1295,1176
532,1504,794
533,1200,424
534,932,1176
535,1200,331
536,105,1176
537,363,228
538,281,438
539,1200,69
540,429,510
541,258,510
542,1200,774
543,1246,667
544,108,1019
545,687,209
546,786,667
547,626,1113
548,540,279
549,207,510
550,1200,198
551,374,331
552,342,1176
553,363,1399
554,1200,1176
555,1200,1176
556,1200,825
557,460,1176
558,1517,330
559,788,279
560,1200,1497
561,190,1348
562,1200,733
563,82,256
564,1200,1176
565,1254,911
566,1200,1176
567,1200,1225
568,1200,1176
569,1200,510
570,1200,758
571,292,279
572,1200,510
573,363,1225
574,1200,396
575,1152,1267
576,788,98
577,932,1008
578,1200,1176
579,1200,1176
580,1115,1176
581,535,1176
582,932,1176
583,1200,1321
584,257,704
585,344,1497
586,872,346
587,900,772
588,907,1176
589,1219,1400
590,1033,1014
591,898,102
592,1287,229
593,1200,78
594,535,330
595,134,1176
596,1200,1328
597,1200,884
598,171,300
599,1200,368
600,1200,1512
601,919,1473
602,1200,1176
603,1200,667
604,808,1176
605,1200,842
606,1200,1176
607,1200,1176
608,1246,1176
609,1200,911
610,1200,1186
611,1066,1161
612,932,766
613,1200,1176
614,363,1176
615,81,1497
616,1200,1176
617,1200,330
618,1200,87
619,281,437
620,117,297
621,1101,1176
622,1200,1002
623,1200,1176
624,932,368
625,547,401
626,231,1176
627,72,1262
628,761,911
629,1432,1176
630,1200,1176
631,854,911
632,1525,1509
633,1200,1176
634,1200,328
635,105,346
636,1419,1176
637,869,1176
638,1200,437
639,1200,1176
640,900,681
641,775,1493
642,363,98
643,1200,667
644,548,1176
645,468,1176
646,1200,911
647,1115,199
648,1200,1335
649,1200,911
650,1200,1103
651,535,886
652,1200,1240
653,386,854
654,1246,1122
655,1200,632
656,292,1176
657,344,1080
658,888,582
659,1200,279
660,1200,510
661,1134,279
662,207,209
663,1200,98
664,223,786
665,1200,911
666,602,346
667,292,667
668,1200,330
669,1523,1068
670,207,950
671,1200,1512
672,882,1176
673,1200,252
674,1200,844
675,499,98
676,1200,1176
677,231,1132
678,281,1176
679,808,1497
680,907,1176
681,1200,1294
682,1200,1257
683,932,331
684,687,667
685,1200,1176
686,1200,1176
687,1200,279
688,292,190
689,1200,1139
690,1200,510
691,1200,1400
692,887,1176
693,292,510
694,1200,1176
695,108,1176
696,687,1225
697,363,213
698,932,412
699,1200,1176
700,869,1225
701,794,279
702,1200,279
703,1200,1176
704,429,1007
705,1200,1262
706,808,1176
707,1200,1176
708,1521,1176
709,1341,1176
710,687,69
711,1200,1176
712,1200,1176
713,1200,707
714,1200,346
715,1200,279
716,1200,667
717,1200,1391
718,932,1176
719,687,1176
720,1200,1156
721,1382,1176
722,248,1390
723,1200,1010
724,1254,911
725,794,332
726,528,279
727,292,358
728,1200,1176
729,468,1176
730,1200,812
731,1200,270
732,0,1458
733,374,1176
734,1200,1361
735,1200,693
736,1200,1218
737,1200,1176
738,977,1176
739,687,597
740,231,1019
741,1101,1176
742,1200,337
743,1504,1176
744,152,1176
745,788,911
746,363,1176
747,215,346
748,1200,1176
749,228,924
750,231,1176
751,1200,846
752,687,1235
753,1200,1070
754,1200,69
755,1460,1176
756,794,775
757,600,510
758,932,938
759,1419,1473
760,1246,1176
761,1200,645
762,907,439
763,808,279
764,803,201
765,1200,149
766,292,1176
767,1200,705
768,1321,1176
769,1200,667
770,105,98
771,1200,1225
772,1200,1176
773,801,1225
774,1244,148
775,1200,279
776,794,996
777,1200,911
778,292,1176
779,1287,1497
780,1200,1176
781,299,1176
782,565,931
783,1200,270
784,1200,911
785,1200,667
786,1200,1176
787,1200,1146
788,231,346
789,1200,1176
790,1451,1176
791,535,1176
792,1246,151
793,292,1121
794,1200,1176
795,995,1176
796,1200,938
797,1091,911
798,1504,1176
799,338,1176
800,72,440
801,687,1068
802,907,334
803,1200,1008
804,907,1176
805,528,864
806,869,1176
807,1200,215
808,1200,884
809,1034,884
810,559,1176
811,1200,358
812,1200,1176
813,1093,1176
814,1263,1390
815,932,510
816,1200,69
817,292,1176
818,1197,1176
819,1200,667
820,460,1497
821,105,911
822,1044,1176
823,1200,1176
824,1181,1172
825,1200,425
826,1200,346
827,978,1176
828,1200,396
829,1246,190
830,77,864
831,1200,1176
832,251,1176
833,1200,279
834,1200,346
835,1200,1198
836,907,1497
837,1200,891
838,1200,279
839,932,331
840,1200,775
841,1144,358
842,1200,1176
843,1200,1176
844,1191,328
845,1200,911
846,105,346
847,788,330
848,907,1176
849,1200,52
850,1200,950
851,659,1176
852,1200,1176
853,1200,1291
854,1200,1497
855,1246,358
856,1200,1176
857,932,863
858,1246,102
859,1200,1176
860,1200,1176
861,1200,228
862,1200,180
863,1200,1176
864,1200,1176
865,1066,1225
866,1200,514
867,932,199
868,1200,1176
869,1200,300
870,1200,328
871,1200,1176
872,1200,510
873,231,1176
874,1200,1176
875,887,279
876,815,911
877,1200,1390
878,1200,1176
879,687,1497
880,1200,641
881,1200,60
882,1209,98
883,219,137
884,1200,78
885,248,707
886,1419,322
887,1200,1176
888,1200,204
889,1200,1390
890,1200,211
891,1517,1176
892,808,1005
893,1091,1176
894,1200,1176
895,206,1390
896,1200,199
897,108,1176
898,1200,212
899,1066,264
900,478,1176
901,980,339
902,1200,465
903,1200,1070
904,105,1176
905,886,911
906,1200,1303
907,1200,330
908,1523,1262
909,799,667
910,1491,595
911,1200,1176
912,977,1176
913,1200,1176
914,807,1240
915,374,143
916,1200,330
917,1200,331
918,311,1262
919,1326,829
920,1200,202
921,224,1176
922,1097,1176
923,292,536
924,281,1176
925,223,98
926,927,1176
927,1200,1451
928,1246,126
929,1246,1176
930,1200,1176
931,1200,149
932,687,911
933,1200,785
934,930,1132
935,216,1478
936,1200,911
937,336,396
938,535,1431
939,869,1176
940,1200,911
941,1246,911
942,209,1393
943,808,1176
944,1200,724
945,1152,1225
946,292,77
947,1097,1176
948,808,766
949,655,851
950,799,98
951,1200,1176
952,199,270
953,1200,276
954,1200,950
955,292,535
956,1200,911
957,687,911
958,363,394
959,72,1176
960,1200,1176
961,1047,1176
962,1200,1121
963,363,98
964,1200,1431
965,671,1176
966,292,884
967,460,1176
968,1143,1176
969,1386,1176
970,898,1176
971,1047,911
972,392,667
973,292,667
974,1200,900
975,932,632
976,491,1176
977,1200,1431
978,1200,1176
979,1143,1030
980,1200,1176
981,1200,1206
982,1200,276
983,292,1176
984,1200,126
985,1200,98
986,1200,1176
987,1246,1176
988,363,779
989,932,1176
990,1200,88
991,973,1176
992,210,1176
993,932,1043
994,1504,367
995,1028,1176
996,1246,1176
997,1200,1176
998,1200,279
999,231,1176
1000,358,1176
1001,231,770
1002,1523,510
1003,1200,1176
1004,421,1105
1005,548,911
1006,956,1262
1007,1200,1176
1008,1200,69
1009,1200,1176
1010,231,374
1011,737,1176
1012,687,1066
1013,1246,884
1014,134,279
1015,932,331
1016,231,1225
1017,737,340
1018,231,911
1019,1246,1176
1020,343,1176
1021,281,1176
1022,493,801
1023,1200,1116
1024,1200,1497
1025,1200,1015
1026,1200,1176
1027,1284,667
1028,264,1176
1029,1246,1176
1030,1200,270
1031,1200,1225
1032,1200,1176
1033,788,1176
1034,343,1351
1035,932,1176
1036,687,707
1037,791,143
1038,1200,1176
1039,1200,1176
1040,109,1176
1041,535,911
1042,803,143
1043,1200,1176
1044,1200,1176
1045,1093,407
1046,1200,1176
1047,1200,1176
1048,932,1176
1049,1200,331
1050,932,1473
1051,1200,1353
1052,82,1031
1053,1200,279
1054,1142,1262
1055,1200,1070
1056,1489,667
1057,1200,1176
1058,108,997
1059,226,1225
1060,1200,1176
1061,312,1176
1062,1200,1132
1063,1246,1176
1064,932,1224
1065,1134,1176
1066,1200,1176
1067,1287,279
1068,1091,1176
1069,1134,199
1070,1200,279
1071,1402,270
1072,1200,1176
1073,1174,1176
1074,1200,1401
1075,1200,1176
1076,1200,1176
1077,1200,667
1078,687,149
1079,974,667
1080,108,1176
1081,638,143
1082,932,1176
1083,1200,1024
1084,167,911
1085,231,960
1086,1246,994
1087,808,510
1088,1164,884
1089,1200,463
1090,934,1431
1091,1200,237
1092,231,1231
1093,1246,1176
1094,687,811
1095,105,911
1096,1200,667
1097,344,1225
1098,1200,1176
1099,932,1176
1100,1200,1176
1101,292,199
1102,109,911
1103,1200,1176
1104,540,463
1105,1200,1418
1106,363,1176
1107,1200,510
1108,72,1005
1109,1200,1176
1110,1200,911
1111,1113,510
1112,1200,1176
1113,808,1176
1114,932,1176
1115,292,846
1116,788,1070
1117,1200,846
1118,732,1176
1119,1517,280
1120,1200,1176
1121,808,1176
1122,1200,864
1123,869,1380
1124,1200,180
1125,687,346
1126,1200,312
1127,260,407
1128,281,667
1129,1091,1176
1130,1200,1176
1131,1200,1161
1132,292,1176
1133,231,510
1134,1504,1225
1135,1043,465
1136,292,387
1137,559,779
1138,1200,1176
1139,292,1402
1140,1200,190
1141,687,1103
1142,1200,1176
1143,1200,1176
1144,207,407
1145,869,358
1146,692,1103
1147,1200,1176
1148,1402,911
1149,1200,510
1150,1200,1176
1151,1430,1176
1152,1246,1176
1153,1200,884
1154,932,1176
1155,1200,126
1156,1200,1161
1157,1200,1361
1158,1200,312
1159,1200,1176
1160,1246,1089
1161,1200,1176
1162,1200,331
1163,1200,704
1164,1200,1176
1165,1419,1176
1166,1200,1230
1167,535,148
1168,932,1176
1169,1200,1176
1170,815,909
1171,1200,1176
1172,1200,1509
1173,1200,775
1174,1200,250
1175,1200,1176
1176,1460,1262
1177,907,510
1178,1200,667
1179,342,779
1180,932,667
1181,109,1225
1182,1200,1176
1183,1200,1493
1184,160,69
1185,1491,1176
1186,1200,911
1187,1189,1176
1188,761,1176
1189,1200,1176
1190,1200,1176
1191,77,1497
1192,1200,1431
1193,900,69
1194,1200,1225
1195,862,1176
1196,206,1008
1197,1200,1176
1198,1200,1225
1199,1200,1176
1200,655,1176
1201,932,1262
1202,1200,279
1203,1142,510
1204,1200,1473
1205,1200,279
1206,1200,279
1207,687,1176
1208,248,1176
1209,1200,1099
1210,535,1176
1211,1200,1468
1212,1200,1176
1213,1200,1176
1214,900,1176
1215,1200,1176
1216,687,694
1217,1081,1359
1218,1200,1176
1219,1200,199
1220,932,1084
1221,363,1176
1222,1200,469
1223,1200,1152
1224,209,98
1225,392,1418
1226,1200,1225
1227,1200,1176
1228,1200,1109
1229,1200,1176
1230,1200,1176
1231,1115,1478
1232,1200,515
1233,1200,1070
1234,386,270
1235,1429,1176
1236,292,1225
1237,1200,358
1238,1200,898
1239,231,911
1240,281,846
1241,342,1176
1242,1200,1489
1243,1200,1176
1244,1419,1176
1245,1066,330
1246,1200,884
1247,1200,1031
1248,535,1020
1249,292,438
1250,535,270
1251,1263,911
1252,932,1176
1253,118,279
1254,1246,1436
1255,744,99
1256,1200,98
1257,1234,1176
1258,1200,1015
1259,411,911
1260,1200,279
1261,687,1176
1262,1200,1176
1263,1246,1093
1264,1246,1121
1265,1200,401
1266,932,1333
1267,1200,911
1268,907,1176
1269,371,770
1270,1200,1475
1271,1311,786
1272,1200,1252
1273,1200,1043
1274,292,1176
1275,207,1176
1276,499,510
1277,1523,1497
1278,1200,1176
1279,1143,1176
1280,1466,286
1281,1287,1176
1282,535,241
1283,869,1176
1284,932,1238
1285,1200,1225
1286,460,1225
1287,932,1176
1288,292,575
1289,182,510
1290,1200,1176
1291,1419,1497
1292,1200,358
1293,1419,591
1294,105,1176
1295,932,498
1296,374,911
1297,1200,1176
1298,207,911
1299,207,346
1300,1287,869
1301,109,1176
1302,1200,667
1303,535,1390
1304,363,1156
1305,134,582
1306,1425,1176
1307,1200,1176
1308,1200,1176
1309,1246,1176
1310,855,1176
1311,292,1176
1312,1200,1176
1313,1200,1176
1314,1200,911
1315,1200,1176
1316,1274,766
1317,1200,1176
1318,808,846
1319,1200,98
1320,1066,1176
1321,932,270
1322,1200,1132
1323,1200,1288
1324,831,340
1325,1200,1176
1326,794,518
1327,907,1176
1328,1200,667
1329,1200,911
1330,215,1079
1331,1246,1176
1332,827,1176
1333,1200,279
1334,1034,950
1335,343,1499
1336,1130,107
1337,460,412
1338,363,1176
1339,808,387
1340,1200,1176
1341,535,1488
1342,1200,1176
1343,932,770
1344,1200,1121
1345,105,1176
1346,231,1176
1347,995,1031
1348,678,457
1349,1200,1161
1350,1457,1176
1351,363,1176
1352,1200,126
1353,105,846
1354,932,677
1355,1200,707
1356,854,1358
1357,363,1176
1358,215,1176
1359,1200,667
1360,1215,1105
1361,1200,1176
1362,95,1176
1363,1200,1176
1364,105,440
1365,1200,1176
1366,1246,1020
1367,1200,1176
1368,1200,102
1369,224,279
1370,1523,1176
1371,706,1176
1372,344,667
1373,1267,851
1374,1200,1225
1375,1287,911
1376,105,209
1377,136,1176
1378,82,228
1379,1200,1176
1380,1200,209
1381,634,1478
1382,966,1262
1383,1246,1176
1384,1200,911
1385,1491,1493
1386,919,1176
1387,1200,786
1388,788,911
1389,1200,1176
1390,231,407
1391,1246,510
1392,1200,667
1393,1200,714
1394,1200,171
1395,687,1176
1396,535,1176
1397,687,864
1398,292,69
1399,1287,1225
1400,1027,1176
1401,932,1176
1402,1200,1380
1403,1200,1176
1404,1200,346
1405,732,1176
1406,687,1225
1407,1200,911
1408,292,1176
1409,1200,770
1410,231,829
1411,1246,190
1412,807,515
1413,1200,1431
1414,874,1240
1415,1200,1176
1416,200,1176
1417,907,1431
1418,687,1176
1419,1200,864
1420,1200,766
1421,1115,1262
1422,1246,438
1423,1200,707
1424,696,72
1425,1200,1390
1426,744,1176
1427,835,1043
1428,1200,368
1429,231,667
1430,932,1176
1431,248,1225
1432,407,1176
1433,363,1103
1434,1200,1176
1435,109,510
1436,1200,911
1437,1200,884
1438,1200,199
1439,1224,78
1440,1341,1176
1441,898,1176
1442,1200,1176
1443,363,911
1444,687,1095
1445,1200,765
1446,1200,1176
1447,1200,667
1448,231,218
1449,1246,1176
1450,1200,1176
1451,1200,510
1452,613,1176
1453,1091,438
1454,1200,667
1455,1200,1161
1456,281,1497
1457,374,1176
1458,1200,1176
1459,1092,78
1460,1200,779
1461,1200,1176
1462,292,279
1463,1200,1176
1464,1200,1176
1465,1200,346
1466,363,1488
1467,787,1166
1468,663,1176
1469,1200,1176
1470,1200,986
1471,1246,770
1472,1200,1176
1473,1200,1262
1474,869,202
1475,1504,1152
1476,535,1176
1477,1200,1460
1478,1031,1176
1479,72,1390
1480,956,1010
1481,932,1176
1482,1200,1113
1483,72,960
1484,1200,1176
1485,1200,667
1486,1200,1176
1487,1219,1176
1488,1200,531
1489,1200,681
1490,292,510
1491,1200,1249
1492,535,279
1493,535,1121
1494,535,779
1495,281,1176
1496,932,667
1497,1200,1176
1498,199,1468
1499,281,561
1500,1523,1176
1501,374,1411
1502,1504,911
1503,1200,1240
1504,350,1176
1505,1200,1176
1506,460,1225
1507,1200,279
1508,1007,1509
1509,231,1176
1510,1200,1176
1511,800,331
1512,1200,85
1513,231,1176
1514,1200,346
1515,1200,279
1516,1200,465
1517,1200,1376
1518,1200,190
1519,1200,102
1520,1287,1176
1521,1200,229
1522,447,1176
1523,1287,1176
1524,1200,1176
1525,1200,149
1526,815,1176
1527,1419,1176
1528,1451,618
1529,1200,1421
1530,808,667
1531,1200,1068
1532,1200,1176
1533,1246,1036
1534,343,1176
1535,1200,911
1536,1091,1413
1537,1200,911
1538,1200,1176
1539,1200,191
1540,1200,911
1541,1349,1176
1542,1200,1176
1543,932,294
1544,155,1176
1545,292,667
1546,1200,1176
1547,1053,346
1548,231,1250
1549,1200,864
1550,900,1176
1551,1200,615
1552,1200,1176
1553,490,1070
1554,798,1225
1555,1200,969
1556,105,119
1557,1200,1176
1558,1200,1176
1559,559,1176
1560,1200,1390
1561,1200,938
1562,788,748
1563,1093,963
1564,109,1390
1565,105,884
1566,1328,528
1567,1034,432
1568,1200,911
1569,1200,358
1570,1200,1473
1571,1200,72
1572,963,407
1573,1200,101
1574,687,1176
1575,932,1079
1576,491,704
1577,1200,1176
1578,109,149
1579,798,618
1580,788,101
1581,344,1176
1582,1200,1176
1583,648,346
1584,932,1176
1585,1200,884
1586,1419,1176
1587,1200,1176
1588,869,775
1589,876,775
1590,1200,496
1591,1200,143
1592,558,1225
1593,1200,1176
1594,288,774
1595,1200,1176
1596,160,1076
1597,1200,193
1598,1200,270
1599,1200,911
1600,1200,647
1601,209,1176
1602,207,1176
1603,1246,1176
1604,1200,864
1605,1246,378
1606,1200,346
1607,1200,1176
1608,1200,1176
1609,1200,510
1610,1200,345
1611,749,1176
1612,1200,1176
1613,1200,1176
1614,1200,1005
1615,344,911
1616,299,126
1617,1066,1176
1618,1200,394
1619,932,1176
1620,1200,667
1621,613,846
1622,1246,1176
1623,1246,1497
1624,1200,228
1625,1200,684
1626,1523,358
1627,1200,1176
1628,374,279
1629,263,911
1630,374,1176
1631,1200,1176
1632,1200,1176
1633,1028,1176
1634,43,1176
1635,1200,1043
1636,797,1176
1637,613,911
1638,484,1267
1639,109,1497
1640,1200,1176
1641,1026,1176
1642,1200,1176
1643,1246,358
1644,1200,1176
1645,292,1176
1646,1078,677
1647,1274,1176
1648,977,1103
1649,932,1499
1650,281,1176
1651,1200,667
1652,1092,228
1653,1200,667
1654,1200,1431
1655,921,1176
1656,1200,237
1657,1200,911
1658,876,779
1659,535,102
1660,932,1176
1661,687,667
1662,1200,1176
1663,1081,1176
1664,1200,667
1665,1219,1176
1666,1523,1176
1667,363,463
1668,1200,1176
1669,1200,1176
1670,447,1176
1671,932,1176
1672,292,1176
1673,535,1176
1674,343,279
1675,1093,1176
1676,1200,1176
1677,1200,667
1678,803,1176
1679,687,270
1680,1200,911
1681,292,346
1682,932,425
1683,687,1176
1684,1200,279
1685,1302,1390
1686,95,515
1687,1200,102
1688,1200,237
1689,907,1176
1690,1066,667
1691,1200,1176
1692,1200,1176
1693,1200,888
1694,1081,1176
1695,1034,1196
1696,1200,1176
1697,215,1176
1698,1200,228
1699,1200,1176
1700,1200,218
1701,1200,98
1702,1419,608
1703,1200,1176
1704,687,1321
1705,1246,1225
1706,932,1390
1707,1200,221
1708,1200,1478
1709,1200,1192
1710,1200,1176
1711,1246,1176
1712,105,33
1713,1517,1176
1714,82,1176
1715,1370,1176
1716,1200,256
1717,1504,1497
1718,932,1176
1719,1200,126
1720,1425,667
1721,211,190
1722,1392,1176
1723,593,1176
1724,1200,1176
1725,1287,911
1726,292,1473
1727,109,494
1728,1200,667
1729,1200,774
1730,932,1161
1731,558,229
1732,1200,1176
1733,207,337
1734,1200,279
1735,1200,1176
1736,1200,1121
1737,1200,221
1738,1504,510
1739,363,1176
1740,1200,1225
1741,1200,1176
1742,932,911
1743,1200,1225
1744,355,1225
1745,281,1176
1746,1200,667
1747,1200,1176
1748,1523,1176
1749,962,692
1750,1523,1176
1751,687,1176
1752,1200,1176
1753,377,237
1754,1523,911
1755,1430,1176
1756,1287,1176
1757,1200,911
1758,292,1176
1759,1200,884
1760,1523,1176
1761,1200,1176
1762,932,1176
1763,1200,1202
1764,1200,512
1765,1200,1176
1766,794,1225
1767,1200,98
1768,1200,911
1769,105,1176
1770,1200,1176
1771,737,714
1772,687,846
1773,1152,851
1774,332,1176
1775,1152,1176
1776,869,667
1777,273,1225
1778,687,882
1779,363,1176
1780,808,675
1781,1066,667
1782,1200,1132
1783,1152,228
1784,628,1176
1785,1200,911
1786,1244,1176
1787,869,298
1788,1200,1176
1789,495,1079
1790,1200,76
1791,189,1176
1792,1504,85
1793,678,1176
1794,152,833
1795,1066,1176
1796,1523,1176
1797,292,1176
1798,1495,1176
1799,1200,1176
1800,499,1093
1801,1200,1176
1802,999,584
1803,561,1176
1804,687,1499
1805,1034,1225
1806,1200,1176
1807,932,1488
1808,1200,1488
1809,1200,510
1810,344,279
1811,52,1225
1812,292,1283
1813,374,1176
1814,231,766
1815,1246,1176
1816,932,1225
1817,932,1176
1818,869,438
1819,1200,770
1820,921,515
1821,678,1431
1822,1143,358
1823,1200,1458
1824,1200,143
1825,1493,1176
1826,1126,786
1827,1523,298
1828,1200,667
1829,1200,1176
1830,374,1225
1831,535,916
1832,152,667
1833,1200,279
1834,1246,1176
1835,1200,911
1836,1200,1176
1837,1200,707
1838,292,1008
1839,1200,1176
1840,1124,911
1841,1168,1176
1842,1144,1176
